epoch,variance
0,1.1003344901894252e-08
50,1.6231268773481133e-08
100,2.6124635787994066e-09
150,2.48557313620168e-10
200,2.298303630743348e-10
250,2.1768037372638105e-10
300,2.0693578794972467e-10
350,1.9930568306847363e-10
400,1.9102711079632684e-10
450,1.8461089601462533e-10
499,1.7777579408573274e-10
