epoch,variance
0,1.1003344901894252e-08
50,9.205236572995545e-09
100,2.2307935498844245e-09
150,2.1481345868767932e-10
200,2.0379403720127698e-10
250,1.937394134010617e-10
300,1.851919173567751e-10
350,1.7791712547676752e-10
400,1.7323126266788336e-10
450,1.7011606012751201e-10
499,1.6673798453048505e-10
