epoch,variance
0,2.1271087113916565e-09
50,1.318678499728776e-08
100,2.3721892006278722e-08
150,4.895470140375835e-11
200,4.474131828913208e-11
250,4.267473874275396e-11
300,4.140215600911823e-11
350,3.983265800533431e-11
400,3.835338990842985e-11
450,3.705443590851232e-11
499,3.562689379621453e-11
