num_nodes: 2
max_byzantine_nodes: 0
learning_rate: 0.01
batch_size: 30000
num_epochs: 500
plot_interval: 5
trim_parameter: 1
connectivity: 0.8
seed: 23
variants: ['none']
attack_type: random
lr_schedule: <bound method Config.lr_schedule of <config.Config object at 0x10286c5b0>>
result_dir: results_20250326-000543
